"Gene_ID	Control001	Control003	Control004	Control005	Control006	Control007	Control008	Convalescent001	Convalescent002	Convalescent003	Convalescent004	Convalescent005	LongCOVID001	LongCOVID002	LongCOVID003	LongCOVID004	LongCOVID005	LongCOVID006	LongCOVID007	LongCOVID008	LongCOVID009	LongCOVID010	LongCOVID011"
"Group	Control	Control	Control	Control	Control	Control	Control	Convalescent	Convalescent	Convalescent	Convalescent	Convalescent	LongCovid	LongCovid_BrainFog	LongCovid	LongCovid	LongCovid	LongCovid	LongCovid	LongCovid_BrainFog	LongCovid_BrainFog	LongCovid_BrainFog	LongCovid_BrainFog"
"ENSG00000000003	3.69865	2.04412	3.80909	2.18377	3.6109	2.86613	2.79303	2.81037	3.02813	3.7645	2.7107	2.88613	3.1717	2.47813	2.71912	2.64081	2.86038	2.39006	1.00772	3.60706	3.57061	2.44337	2.90464"
"ENSG00000000419	5.96796	5.51309	5.5644	5.7487	5.61755	6.59273	6.82924	5.81882	5.871	6.17769	5.89312	5.91457	5.47442	5.83272	5.57203	5.67218	5.8609	5.75274	5.57643	5.83059	6.52043	5.62586	6.76097"
"ENSG00000000457	5.51104	4.96851	5.57384	5.24518	5.40942	4.84349	5.06737	5.53335	5.52972	5.34259	5.74338	5.67276	5.27219	5.25843	5.50876	5.57282	5.57625	5.42264	5.43582	5.82	5.20147	5.46304	4.9077"
"ENSG00000000460	4.43334	4.54544	4.41381	4.55431	4.71327	3.36469	3.78496	4.53571	4.60266	4.51856	4.75033	4.89033	4.56131	4.32693	4.46094	4.54966	4.80742	4.22713	4.64563	4.74146	3.8612	4.78313	3.59884"
"ENSG00000000938	9.51259	9.71227	9.14565	9.80026	9.81808	8.70112	8.80324	10.0448	9.39093	9.55299	9.49155	9.50554	9.87051	9.27036	9.87962	9.87962	9.63294	9.87962	9.33355	9.04428	9.04976	9.29054	8.84335"
"ENSG00000000971	3.84234	3.51503	3.77587	3.58586	3.07058	3.3096	4.32296	4.0722	2.73808	5.25501	5.47077	3.7134	3.87289	5.11848	3.35642	4.51257	4.27296	4.14942	3.63565	4.5592	4.29681	4.65096	4.8944"
"ENSG00000001036	6.83676	7.11836	6.40567	7.24356	7.08049	6.55176	6.58148	7.20626	6.74864	6.88492	7.31906	7.07084	7.0383	6.86252	6.93048	7.19434	6.80835	6.98559	6.82521	6.68275	7.14896	6.97389	6.79415"
"ENSG00000001084	5.54123	5.68103	5.24654	5.08308	5.60877	5.86123	5.3654	5.45901	5.13972	5.65191	5.71984	5.58366	5.56416	5.0122	5.73575	5.4467	5.15149	5.82831	5.22742	5.19377	4.8372	5.49878	5.59413"
"ENSG00000001167	6.08918	6.29662	5.99152	5.81368	6.06608	6.43242	6.3559	6.13065	5.69085	6.05673	5.74561	6.06414	6.14087	6.2465	6.16945	5.90821	5.89766	5.9692	5.82151	6.16868	5.79912	6.26691	5.42675"
